"□ 본 서비스에서 제공하는 정보는 법적인 효력이 없으므로 참고용으로만 활용하시기 바랍니다."
"□ 신고정보가 실시간 변경, 해제되어 제공시점에 따라 공개건수 및 내용이 상이할 수 있는 점 참고하시기 바랍니다."
"□ 본 자료는 계약일 기준입니다. (※ 7월 계약, 8월 신고건 → 7월 거래건으로  제공)"
"□ 통계자료 활용시에는 수치가 왜곡될 수 있으니 참고자료로만 활용하시기  바라며,  외부 공개시에는 반드시 신고일 기준으로 집계되는 공식통계를 이용하여 주시기 바랍니다."
""
"* 국토교통부 실거래가 공개시스템의 궁금하신 점이나 문의사항은 콜센터 1533-2949로 연락 주시기 바랍니다."
"□ 검색조건"
"계약일자 : 2022-01-01 ~ 2022-12-31"
"실거래구분 : 아파트(매매)"
"주소구분 : 지번주소"
"시도 : 부산광역시"
"시군구 : 전체"
"읍면동 : 전체"
"면적 : 전체"
"금액선택 : 전체"
"NO","시군구","번지","본번","부번","단지명","전용면적(㎡)","계약년월","계약일","거래금액(만원)","동","층","매수자","매도자","건축년도","도로명","해제사유발생일","거래유형","중개사소재지","등기일자"
"1","부산광역시 기장군 기장읍 동부리","364-2","0364","0002","부산기장포스코더샵","84.9056","202212","24","34,500","-","11","-","-","2004","차성동로116번길 12","20230105","중개거래","부산 기장군","-"
"2","부산광역시 기장군 기장읍 동부리","364-2","0364","0002","부산기장포스코더샵","84.9056","202212","24","34,500","-","11","-","-","2004","차성동로116번길 12","20230107","중개거래","부산 기장군","-"
"3","부산광역시 기장군 기장읍 동부리","151-5","0151","0005","한신","59.8500","202212","13","16,000","-","10","-","-","1995","차성로344번길 13","-","직거래","-","-"
"4","부산광역시 기장군 기장읍 동부리","335-11","0335","0011","월드파크빌B동","75.5400","202212","06","14,500","-","5","-","-","2004","차성서로 152-14","-","중개거래","부산 기장군","-"
"5","부산광역시 기장군 기장읍 동부리","158-3","0158","0003","서린에코빌아파트","59.2950","202212","01","13,600","-","1","-","-","1989","차성로326번길 19","-","중개거래","부산 기장군","-"
"6","부산광역시 기장군 기장읍 동부리","117-3","0117","0003","진동선빌리지","82.9400","202211","15","8,400","-","5","-","-","1991","차성로 327-10","-","중개거래","부산 기장군","-"
"7","부산광역시 기장군 기장읍 동부리","509","0509","0000","삼화펠리스힐아파트","73.8194","202211","14","16,500","-","4","-","-","2016","배산로68번길 16-7","-","직거래","-","-"
"8","부산광역시 기장군 기장읍 동부리","117-3","0117","0003","진동선빌리지","82.9400","202211","05","8,400","-","5","-","-","1991","차성로 327-10","20221128","중개거래","부산 기장군","-"
"9","부산광역시 기장군 기장읍 동부리","378-3","0378","0003","동호그린빌라","64.0650","202211","04","6,700","-","4","-","-","1990","차성동로 136","-","직거래","-","-"
"10","부산광역시 기장군 기장읍 동부리","151-5","0151","0005","한신","84.9850","202211","02","25,000","-","11","-","-","1995","차성로344번길 13","-","중개거래","부산 기장군","-"
"11","부산광역시 기장군 기장읍 동부리","151-5","0151","0005","한신","59.8500","202210","28","18,400","-","9","-","-","1995","차성로344번길 13","-","중개거래","부산 기장군","-"
"12","부산광역시 기장군 기장읍 동부리","151-5","0151","0005","한신","59.8500","202210","11","18,200","-","19","-","-","1995","차성로344번길 13","-","중개거래","부산 기장군","-"
"13","부산광역시 기장군 기장읍 동부리","151-5","0151","0005","한신","59.8500","202209","26","18,100","-","19","-","-","1995","차성로344번길 13","-","중개거래","부산 기장군","-"
"14","부산광역시 기장군 기장읍 동부리","377-1","0377","0001","부전베스트","78.2700","202209","26","12,800","-","3","-","-","1990","차성동로142번길 12-2","-","중개거래","부산 기장군","-"
"15","부산광역시 기장군 기장읍 동부리","151-5","0151","0005","한신","59.8500","202209","20","18,500","-","10","-","-","1995","차성로344번길 13","-","중개거래","부산 기장군","-"
